caseID,clusterNo,SBS1,SBS2,SBS5,SBS13,SBS17a,SBS17b,SBS28,SBS40,ID1,ID2,ID5,ID6,ID8,ID9,ID14
case4,1,9.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
case4,2,13.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case4,3,47.0,0.0,26.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case4,4,41.0,0.0,28.0,0.0,0.0,0.0,0.0,74.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0
case4,5,27.0,0.0,18.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case4,6,161.0,0.0,130.0,0.0,0.0,0.0,0.0,308.0,27.0,0.0,15.0,0.0,0.0,0.0,0.0
case4,7,170.0,0.0,133.0,0.0,40.0,108.0,0.0,444.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0
