caseID,clusterNo,SBS1,SBS2,SBS5,SBS13,SBS17a,SBS17b,SBS28,SBS40,ID1,ID2,ID5,ID6,ID8,ID9,ID14
case13,1,26.0,0.0,22.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case13,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
case13,4,993.0,0.0,762.0,0.0,0.0,0.0,0.0,843.0,66.0,23.0,0.0,0.0,0.0,63.0,0.0
case13,5,42.0,0.0,54.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
case13,6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
