caseID,clusterNo,SBS1,SBS2,SBS5,SBS13,SBS17a,SBS17b,SBS28,SBS40,ID1,ID2,ID5,ID6,ID8,ID9,ID14
case3,1,45.0,0.0,31.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3,2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
case3,3,714.0,0.0,386.0,0.0,0.0,0.0,0.0,1304.0,42.0,0.0,55.0,0.0,1.0,24.0,1.0
case3,4,14.0,0.0,12.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3,5,7.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3,6,18.0,0.0,12.0,0.0,0.0,0.0,0.0,37.0,7.0,0.0,3.0,0.0,3.0,11.0,3.0
