caseID,clusterNo,SBS1,SBS2,SBS5,SBS13,SBS17a,SBS17b,SBS28,SBS40,ID1,ID2,ID5,ID6,ID8,ID9,ID14
case6,1,3.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case6,2,15.0,0.0,14.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case6,3,29.0,0.0,25.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case6,4,8.0,0.0,13.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case6,5,14.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case6,6,627.0,0.0,370.0,0.0,0.0,0.0,0.0,887.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0
case6,7,1513.0,0.0,723.0,0.0,0.0,0.0,0.0,1728.0,339.0,137.0,0.0,0.0,0.0,0.0,0.0
